0.8685133239831696
class4,p
nonevent,0.024636455956102157
nonevent,5.830609044758515e-05
nonevent,0.0031740166407914203
II,0.7328460271508954
nonevent,0.016616408872423622
nonevent,0.23658796282911698
nonevent,0.07803003674973924
nonevent,0.02482054062603083
II,0.7591970051432141
nonevent,0.27402222987781305
II,0.9828774946227223
nonevent,0.2435184090341629
II,0.6622861629637425
nonevent,0.07948717255632763
nonevent,0.1259610281580071
II,0.8830997360731204
II,0.9896072118090168
II,0.9972177996157904
nonevent,0.14671522558182143
II,0.9174538291286569
nonevent,0.0007638317228950795
nonevent,0.0878638929151535
nonevent,0.006734794455705922
II,0.8006732801888992
nonevent,0.31961565526213187
nonevent,0.037396870303842054
II,0.986567408918244
nonevent,0.24257474077984376
nonevent,0.007834689454734546
II,0.7513226384153534
nonevent,0.034585270837729144
nonevent,0.06153013528793859
nonevent,0.12663626826837776
nonevent,0.042193424977494016
II,0.8911984923422668
II,0.9772469701517724
nonevent,0.06550861813164338
nonevent,0.08553686615880522
II,0.6757037654704728
II,0.997968299527831
II,0.9690543935895416
nonevent,5.3842911980696785e-06
II,0.8555136464291552
nonevent,0.0003195344642416869
II,0.9726221330168612
nonevent,0.003014465903311395
nonevent,0.2245346874292921
nonevent,0.06402086805456951
nonevent,0.11860822924433374
nonevent,0.005494444448759252
nonevent,0.145276261700368
II,0.9937671782904399
nonevent,0.00839203443193268
nonevent,0.331148846547225
nonevent,0.26725719912118984
II,0.9909506590988231
II,0.5670222096007488
nonevent,0.2824404344437779
II,0.9902402599205821
II,0.9728949815957354
nonevent,0.04788713874592689
nonevent,0.2868538264876333
nonevent,0.0010545788855164553
nonevent,0.10274034288464665
nonevent,0.29427664464715125
II,0.5415248057743792
nonevent,0.19993557382017732
nonevent,0.08026119400370962
nonevent,0.11209190751063564
nonevent,0.000260470067523073
nonevent,0.335564276912039
nonevent,0.3412687174186371
II,0.7873955152208648
II,0.9917415412809981
II,0.8103912953126153
nonevent,0.02339536952112639
II,0.5336949005160639
II,0.8529715548251353
nonevent,0.35676239942163523
II,0.9195630045881541
nonevent,0.24331404691952904
nonevent,0.0003153415567244609
II,0.9919248092659465
II,0.9900241873022525
nonevent,0.20119092039081007
nonevent,0.0001408478870373316
II,0.9351047571301421
nonevent,0.026137625604047646
nonevent,0.40232028058307867
nonevent,0.011199851625445194
II,0.9972812636409356
nonevent,0.10002419251027342
nonevent,0.044728883253082184
nonevent,0.3634625861970394
II,0.7082107745467973
II,0.9886287868392573
nonevent,0.168577164483551
nonevent,0.1558782246893087
nonevent,0.00515581013447955
nonevent,0.23939620514618434
II,0.9235560893524857
nonevent,0.1328929350422298
nonevent,0.4204475686945627
nonevent,0.03666602229813312
II,0.7536150833019833
II,0.9647358006449667
nonevent,0.010756153569580288
II,0.667843958404323
II,0.9967079613174464
nonevent,0.06478283276473486
nonevent,0.2868651931019322
II,0.9187758282309716
nonevent,0.2684931590409499
II,0.9887635901468623
II,0.8290921555652979
nonevent,0.37923060286241167
nonevent,0.10996645363356748
II,0.984170329103747
II,0.9808907301489509
nonevent,0.312915969983816
nonevent,0.10817495287333609
II,0.9978463356200648
II,0.9945829927358543
nonevent,0.01816391775145397
II,0.9840446990629226
II,0.9906020967979146
nonevent,0.4641136922483559
II,0.6061142259421317
nonevent,0.014914230751360363
nonevent,0.3418868089817327
nonevent,0.03620599534388121
nonevent,0.4712154695877185
II,0.8170484338096438
nonevent,0.015875719332317205
nonevent,0.005418457729362443
nonevent,0.003074620225294072
II,0.5992530399249549
II,0.9783910465473084
nonevent,0.37411243809581374
II,0.9366335194259656
II,0.9798018956812097
nonevent,0.0015199787866018145
II,0.7300229178928549
II,0.7809346575148988
II,0.6533789412872842
nonevent,0.20822311180810263
II,0.7078489971442989
II,0.7219363903961395
nonevent,0.05504898390346405
nonevent,7.144461102406872e-05
nonevent,0.09675777777022321
II,0.7939860432398252
nonevent,0.15064383257132474
nonevent,0.0035387406908097777
nonevent,0.10022949359125953
nonevent,0.03651981396066646
II,0.8814899377246586
nonevent,0.06462966372343015
nonevent,0.026965003590018462
nonevent,0.07397258647526238
nonevent,0.4503158241038843
nonevent,0.354988729559292
nonevent,0.2619035874850878
nonevent,0.018057129839329035
nonevent,0.37300265814926226
nonevent,0.0371248246549479
nonevent,0.48164019617799414
nonevent,0.13997012438616108
nonevent,0.19056989005829705
nonevent,0.29319500610297533
II,0.5863123631630224
nonevent,0.142003535950348
II,0.713181003555876
II,0.9944553556280433
nonevent,0.14550061238255083
II,0.7519061225954371
nonevent,0.07405982501725042
nonevent,0.4301455419657498
nonevent,0.0032211800968716315
nonevent,0.21124767768489924
nonevent,0.12949231304012418
II,0.9135286532560978
II,0.9654532606925366
nonevent,0.0942203624215989
nonevent,0.10919680648253706
II,0.8912430711364056
II,0.9926317580723427
nonevent,0.00011763167959935967
II,0.8651691630974322
II,0.9600184082478841
II,0.9971136484119085
nonevent,0.0028305503371351356
II,0.9408203101173692
II,0.7107356093518598
nonevent,0.0005202164080548457
II,0.8955036090222069
II,0.9787382278537843
nonevent,0.4632629263135993
nonevent,0.018235571784528948
II,0.9477311234246175
nonevent,0.05387645776127837
nonevent,0.003414953239214627
nonevent,0.003231960776272381
nonevent,0.11577993110905822
II,0.944094867816545
II,0.8525636405896458
nonevent,0.01912608210085417
II,0.9174165853883968
II,0.9934341850866442
II,0.9853382035634058
nonevent,0.009833381219005672
nonevent,0.09716818889324694
nonevent,0.3381942154698964
nonevent,0.017008503010376125
II,0.9607294758250651
II,0.7641253576796547
II,0.8997289739527659
nonevent,0.24612392793441354
II,0.8431138923668364
II,0.9965717850848965
II,0.8537302727651935
nonevent,0.0008199635621599184
II,0.7230952728168679
II,0.9977159521981364
II,0.6421781507821187
II,0.7587753992323958
II,0.6627089553201954
II,0.5372414223343873
II,0.8551205352524084
nonevent,0.19475431774658786
II,0.9391363471684324
II,0.9346478098778781
II,0.9884632672026165
nonevent,0.139213237147442
nonevent,0.3939376897535467
II,0.8741400142570294
nonevent,0.047135962269002546
nonevent,0.009366397714100052
II,0.9988934507935929
II,0.9960323631453089
II,0.8622731839484825
II,0.83630017857948
II,0.9745236246863652
nonevent,0.1945680190847161
nonevent,0.0002722221643509361
II,0.9955411979833468
II,0.5786637283097082
II,0.9758247652071678
II,0.9937627827010393
II,0.8665000450197334
II,0.9217175900701616
II,0.9807772219093824
nonevent,0.3787903541620447
II,0.964238006916359
nonevent,0.01761985078873924
nonevent,0.08599597713867285
nonevent,0.0012850573092876578
II,0.9447541888303317
II,0.8859984754004908
II,0.966827746487898
II,0.8689642187503045
II,0.9556519418399422
nonevent,0.34747998774685485
nonevent,6.652125353027949e-05
nonevent,0.12730686418607723
nonevent,0.041665195565509724
II,0.9955988105513833
II,0.8391926768898641
nonevent,0.12437938935460315
II,0.901911332330668
nonevent,0.09280591827628007
II,0.5568382802344881
II,0.8550692540831244
nonevent,0.10035451791187945
nonevent,0.018132032634655387
nonevent,0.07140451561335197
nonevent,0.16080072678380952
nonevent,0.14040165444439792
II,0.9240936524771829
nonevent,0.25120293850881376
II,0.8300089103462645
nonevent,0.3632151511683854
II,0.9773095898968145
II,0.9234976477834078
II,0.9005935511736413
II,0.9957404997171398
II,0.9965693306156297
II,0.5003141112284168
II,0.9647067939207737
II,0.9459982885840511
nonevent,0.007414911471017523
II,0.9274603602803702
II,0.6450505673502123
II,0.7788311862479046
II,0.7767253531789046
nonevent,0.005987444096825116
II,0.9341055011932295
nonevent,0.07787680930332687
nonevent,0.007573596181472768
II,0.7331807867257238
II,0.9373901189848628
II,0.9984472174227339
II,0.9949261289564038
nonevent,0.018639145626131247
nonevent,0.293207878244312
nonevent,0.08930582841448721
II,0.9790791206011535
II,0.9951685975751855
nonevent,0.023417759480064186
nonevent,0.030733720680126534
nonevent,0.05703678991087112
nonevent,0.20853187540237994
II,0.965110521902448
nonevent,0.2683049000448449
II,0.9772380697725055
nonevent,0.03399195190401284
II,0.9277678823140765
II,0.8085472751065923
nonevent,0.016771295184498658
nonevent,0.02468794511594969
II,0.8367283610772495
nonevent,0.22821904439528937
II,0.990885252251347
nonevent,0.0055514344702378106
nonevent,0.005187689808085893
nonevent,0.03668808521104052
nonevent,0.1679777750191339
II,0.9670755931546745
II,0.5395781810009043
II,0.6000948961866008
II,0.6738768818443684
II,0.9871566658687855
II,0.649665324227224
II,0.9767273475503176
nonevent,0.04856120399056551
nonevent,0.07202140084026458
II,0.9328949360608905
II,0.7119548544965816
II,0.5468528848727713
II,0.9868825928159765
nonevent,0.29982584362096776
II,0.9938089609194086
nonevent,0.35968028251752665
II,0.8587752048651276
II,0.9376998723247222
nonevent,0.486076467170809
nonevent,0.008412080873760329
nonevent,0.01074015820823678
nonevent,0.2764358487220523
II,0.8856035011184042
II,0.5791099063994938
II,0.681930240240024
nonevent,0.033850402910625965
II,0.9264704589191642
nonevent,0.0909875342455752
nonevent,0.05336546560704976
nonevent,0.06276216773857866
nonevent,0.4770607634403999
II,0.8430966815477271
nonevent,0.12086298049151435
nonevent,0.20332144859554405
II,0.9977971138623628
nonevent,0.4548977342084851
II,0.9924164056715036
nonevent,0.4498458815413512
nonevent,0.47768173204120373
nonevent,0.09313938922453231
nonevent,9.003411925488926e-05
II,0.9511076607682442
II,0.9331337016680774
nonevent,0.17579504412742203
nonevent,0.2326635502396466
nonevent,0.2729383451022428
nonevent,0.21735512637224735
nonevent,0.020264087530496275
nonevent,0.24493403620733686
nonevent,0.371689448821956
II,0.9748965621209559
nonevent,0.0008198643517326924
II,0.9592167200297356
II,0.9900319889456853
nonevent,0.013596665597313411
nonevent,0.07612969017286457
nonevent,0.09126148735319349
nonevent,0.3894542063099887
nonevent,0.013101783838447106
II,0.9312994192531885
II,0.684741417452644
nonevent,0.08196460251931634
II,0.9376827536291894
II,0.9551033463361198
nonevent,0.004159035667993977
II,0.5801212577221417
II,0.9974676734212
nonevent,0.007300393800300951
II,0.9692857188632634
II,0.6159675844347581
II,0.9635195122085511
II,0.9906007853425127
nonevent,0.0019337579417189777
nonevent,0.26342648217028947
nonevent,0.017798774556077784
nonevent,0.15298101448762444
nonevent,0.1093826086104896
II,0.9796829869193827
II,0.996839334515719
II,0.9679125152740081
II,0.959260727128566
nonevent,0.08056207141757658
nonevent,0.05543790528968001
nonevent,0.046122012373242885
nonevent,0.01739505609286744
II,0.8049339597172916
II,0.7552018441121966
II,0.7205244903715621
II,0.6981460121317135
II,0.9811753526463192
II,0.96329645526655
nonevent,0.0025815591697762644
II,0.6909448137017927
nonevent,0.1541684384000311
II,0.8010669860405187
nonevent,0.4717694658086156
II,0.7265276964825363
II,0.966533248202067
nonevent,0.17881411751228674
nonevent,0.04091573869404669
nonevent,0.06577425729888638
nonevent,0.14943461868775818
nonevent,0.00873852335867839
II,0.5288147072235604
II,0.9844356853220771
nonevent,0.006654022828859909
nonevent,0.12269981268539343
II,0.8294740918962653
II,0.8835870667496214
II,0.5474909745346357
nonevent,0.31462896706453714
nonevent,0.031901632298767475
II,0.9844735424226351
II,0.6733507353844477
II,0.6525332135993133
nonevent,8.18399699481231e-05
nonevent,0.19422394406982502
nonevent,0.009246060303946788
nonevent,0.016593253391060634
II,0.9259630490498308
II,0.7218045211680689
II,0.9324209701404195
nonevent,0.1623754080315076
nonevent,0.04037242320328974
II,0.8002020872529849
nonevent,0.3501458041308383
nonevent,0.11098984495692885
II,0.509003526501267
nonevent,8.715211457001447e-06
nonevent,0.18739186334119368
II,0.8373471354042831
II,0.7045659394048801
II,0.7419157694820414
nonevent,0.1261702752032686
nonevent,0.024658398836022062
II,0.9103993813958399
II,0.8448219464803194
II,0.7854949337309856
II,0.9797975693157355
II,0.715746422931397
II,0.7701932423114698
nonevent,0.25749876107074776
nonevent,0.017630707115353517
nonevent,0.09450492061671892
nonevent,0.17033031557863695
nonevent,0.013465758137112843
II,0.7157907368610391
nonevent,0.08201406916316827
II,0.9961035669092142
nonevent,0.02587163767381552
nonevent,0.18413408510946533
nonevent,0.1549663632549953
nonevent,0.010712867496092307
II,0.9653000578072847
II,0.9362947599009309
II,0.8530357232161001
nonevent,0.01640586918902961
nonevent,0.05079883525782283
nonevent,0.016738661752731115
nonevent,0.1088078471020097
nonevent,0.31434712853978786
II,0.8871434151788057
nonevent,0.0758288315136916
II,0.696289990850964
nonevent,0.4019311306025346
II,0.9718944074176816
II,0.9653154317932798
II,0.9504870241931151
nonevent,0.30331830530288917
nonevent,0.0023712049722831585
II,0.985354787595444
II,0.9857440239169375
II,0.8169721206542822
nonevent,0.01395399008355292
nonevent,0.015545847618554865
nonevent,0.11072360251788788
nonevent,0.16502483316784183
II,0.9782697044380785
II,0.9887200059652094
nonevent,0.0408059246039211
nonevent,6.853613706683976e-06
nonevent,0.168288296062969
II,0.9386304452880415
nonevent,0.41566473696705164
II,0.9827914350478493
II,0.9530397166493886
II,0.8200508262583609
II,0.9394300955363628
nonevent,0.03485776024166744
nonevent,0.0006219681033101409
II,0.7972772896332181
II,0.9205960994735184
II,0.9760004095504085
nonevent,0.13310960438440989
II,0.9766688218784009
II,0.7880432908571444
nonevent,0.3437422424815705
II,0.9817642521400843
nonevent,0.004597481495829918
nonevent,0.010046675323922243
II,0.6209656512897281
nonevent,0.05321715205640615
nonevent,0.09796815094110933
nonevent,0.04246561739042004
II,0.9972109784568369
nonevent,0.025045823179194654
nonevent,0.01972175180088202
nonevent,0.3634455219361617
nonevent,0.12072626090356657
nonevent,0.03291839615743293
II,0.978649073941243
nonevent,0.045360076730831755
nonevent,0.40917296700387384
nonevent,0.07542256345522778
nonevent,0.021688145976414056
nonevent,0.3763376910823105
II,0.8476490536443594
II,0.9943061840882316
nonevent,0.008190748597755378
nonevent,0.010179305299727093
II,0.9716184088184189
nonevent,0.019145179556445208
II,0.6194593966843459
nonevent,0.11445678952523786
nonevent,0.00011787244993090425
II,0.9735251103594833
nonevent,0.2563906618526757
II,0.6011126534847364
nonevent,0.046673097700383144
nonevent,0.21601101471919373
nonevent,0.005727139417313805
II,0.9087192814302405
II,0.5301875618500551
nonevent,0.17989579980249026
nonevent,0.1517446904166077
nonevent,0.2902733407833836
nonevent,0.0006968355400206156
nonevent,0.24319168003484182
II,0.996105457786898
nonevent,0.3302132315842116
II,0.978430525286359
II,0.5923974898233514
II,0.9520778834678071
II,0.9286687515478413
II,0.8193427587630391
II,0.930306408196475
II,0.9597947979784921
II,0.8748300226931319
nonevent,0.18026890109480237
nonevent,0.07930214308534246
nonevent,0.1438116844505942
nonevent,0.2571051267712015
nonevent,0.011738301198805808
nonevent,0.026134620078055795
nonevent,0.011395008847735238
nonevent,0.25134800444227945
nonevent,0.19895603212462526
II,0.7575714001708714
nonevent,0.09587690851508505
II,0.9963645399880957
nonevent,0.040337458449709034
nonevent,0.38018315104670714
nonevent,0.06880384350516353
nonevent,0.48057117227825147
II,0.650025405418492
nonevent,0.4766710041062086
II,0.9549181709029211
nonevent,0.06784898770605376
II,0.874778765635594
II,0.9728052254399621
nonevent,0.12062259467454704
II,0.8541168441530201
II,0.6189703728567625
II,0.9608207504444617
nonevent,0.02321278408830769
nonevent,0.007662068074214951
II,0.9464451426601923
II,0.9951749927198256
II,0.9503819333601036
nonevent,0.21270421671778034
nonevent,0.13712632220558915
II,0.9755482778905639
II,0.8065172516447312
nonevent,0.07505810139840775
II,0.9740928248539434
II,0.6625959512110917
II,0.574861442631184
II,0.9839958678415439
II,0.9274676337609891
nonevent,0.4057794117943083
nonevent,0.0930356513738142
nonevent,0.42513844537198275
II,0.8898507121270437
II,0.8699654779074174
nonevent,0.16558080522100396
II,0.9857323709179822
II,0.5980537764839572
nonevent,0.10574306570484804
nonevent,0.028337150534658767
nonevent,0.1782077583717938
II,0.9539451746412512
II,0.8254767386100186
II,0.8058732264482826
II,0.8758663034306144
II,0.9607324344681812
nonevent,0.03138659337797497
nonevent,0.021708670986677125
II,0.9619652951051787
II,0.9945496111450541
nonevent,0.07269403187796106
nonevent,0.006048040440905084
nonevent,0.08887467098443115
nonevent,0.013029223077043378
II,0.9652431115086899
nonevent,0.007297122353590254
nonevent,0.04812744425765313
II,0.9942868582491923
nonevent,0.14802468391838589
nonevent,0.011079711667961678
nonevent,0.018820859378719017
II,0.6429868411747779
II,0.7660860020890231
nonevent,0.06323689932320556
II,0.9596335253366416
nonevent,0.019612631915759016
II,0.6154570649088043
II,0.9236721620170939
II,0.8836157341400231
II,0.8567023451836402
nonevent,0.3845381409107207
nonevent,0.19308757849329858
nonevent,0.2428848259895036
nonevent,0.002042886625613366
nonevent,0.0035478723663035874
II,0.9967022904350678
II,0.9445044030501725
II,0.7974820628628878
nonevent,0.1590104254994633
II,0.7845692317181402
II,0.9920825620281576
nonevent,0.29792185475024596
nonevent,0.07441750651556753
nonevent,0.14501302738664862
nonevent,0.010875925823516675
II,0.99709643525573
II,0.9900119396716714
II,0.9507614304038193
nonevent,0.007505397819955188
II,0.9913844485724402
II,0.9917362618900343
II,0.9610676970032034
nonevent,0.3066260915293447
nonevent,0.007173391134527412
II,0.9953773780086229
nonevent,0.06522763319059187
nonevent,0.3570129020023923
II,0.8751492651302047
II,0.7928154839191588
nonevent,0.0395303532522616
II,0.9091332399983973
nonevent,0.0018167760769915988
II,0.8766066719964544
nonevent,0.10518152003411532
nonevent,0.05127026220743357
II,0.9203750954224079
II,0.9783119576946371
II,0.5281720465208216
II,0.986234927361069
nonevent,0.48512921957659344
nonevent,0.005825750866020937
nonevent,0.00016637512743452164
nonevent,0.13506206919888564
nonevent,0.07731099000844215
II,0.928049509114151
II,0.8481857793205255
II,0.6713570440992443
nonevent,0.375632356979307
II,0.9150314446763004
nonevent,0.038293376530529825
nonevent,0.011413929057948148
nonevent,0.17460849207821094
II,0.990643430484029
II,0.9135210824886635
II,0.6509892729411128
II,0.9432282051944718
nonevent,0.24911553887589422
II,0.8711978452077244
nonevent,0.053917599098517774
II,0.7201619912986779
II,0.9912316769827526
II,0.9699995084562586
II,0.9952558779112525
nonevent,0.09697628740195399
nonevent,0.09120422706141057
nonevent,0.18605373190575014
II,0.6470155066033577
nonevent,0.373911415225729
II,0.9627124561513257
nonevent,0.27341041449506265
II,0.8791184501819889
nonevent,0.021248789365167664
II,0.9985181064677943
II,0.7895089022101247
II,0.9976088144116804
II,0.9987944048190955
II,0.9933191089552247
nonevent,0.02250950815641993
nonevent,0.034562681461820205
nonevent,0.26082720359151745
II,0.9978909840399012
nonevent,0.05021900299448537
nonevent,0.01617624752181602
II,0.993645403020786
nonevent,0.032276203301476916
nonevent,0.040864803245586674
II,0.9549330488330209
nonevent,0.010150764552770983
II,0.9827481076080238
II,0.9773901239631722
nonevent,0.005128847238668801
II,0.9045738289162141
nonevent,0.3579208598011034
nonevent,0.03658325093249483
nonevent,0.042338645686409555
II,0.98809848454754
nonevent,0.20118252779774748
nonevent,0.1739613444107643
II,0.989629392384121
II,0.9367579375938586
nonevent,0.0724703662140491
II,0.8339829512404213
II,0.9569288375115855
II,0.9020970564756595
II,0.9902806676016286
nonevent,0.3066213998252904
II,0.9873815921495952
II,0.7018462153717668
nonevent,0.01026526911157333
II,0.9966726566300758
II,0.946759198602912
II,0.9862243274966953
nonevent,0.006077803309621548
nonevent,0.11118980071784537
II,0.9219483938941688
nonevent,0.2629627658054356
nonevent,0.21703241704902412
nonevent,0.05012042052234695
II,0.5270074137029115
nonevent,0.22511330677092622
nonevent,0.15930119689445757
nonevent,0.21797426381122992
II,0.6857813353378428
nonevent,0.22849544209577413
nonevent,0.006918487421045091
nonevent,0.11835961459145593
nonevent,0.47285128295202056
nonevent,0.039327617807197804
nonevent,0.26334205987836895
nonevent,0.4474485357089059
nonevent,0.1561759600197687
nonevent,0.12653871892200375
II,0.9859270465263896
nonevent,0.21592463631151448
II,0.9947022084770156
II,0.8744212929641121
nonevent,0.05529853638646515
II,0.9534284734808055
nonevent,0.3235193985892567
nonevent,0.08569472734367312
II,0.980717405248597
nonevent,0.4725030830807802
nonevent,0.02634410040625192
II,0.6343983140712207
II,0.9701115006742275
nonevent,0.05124423775113433
nonevent,0.1243735744914858
nonevent,0.30006954670120434
nonevent,5.9900107924298444e-05
nonevent,0.4351488916892175
nonevent,0.25311581446884157
II,0.9112190440794224
nonevent,0.001773998516467684
II,0.9971411148176428
nonevent,0.03112470202099095
nonevent,0.0005197832145821191
II,0.9803612664185906
nonevent,0.0019573272288198355
nonevent,0.023155094834175816
nonevent,0.003340781665717661
nonevent,0.11046180995144134
II,0.9097991608880573
nonevent,0.142204425878193
II,0.7095648621021763
II,0.5607359152094501
nonevent,0.06376829957842445
nonevent,0.08030755657472198
II,0.7654286756123188
nonevent,0.3250998414726473
nonevent,0.10060646961409088
nonevent,0.09443857658093167
nonevent,0.45716002753993146
nonevent,0.4786895774818364
nonevent,0.1732734639330138
nonevent,0.2946211377509132
nonevent,0.22898819323311315
nonevent,0.35724179778647314
II,0.9077996518251092
II,0.9870831874205684
II,0.7668855669193131
II,0.9904305646333116
nonevent,0.4411896672207763
nonevent,0.13841507725638388
II,0.6354511237368062
II,0.9928779335000116
nonevent,0.002332432716702454
nonevent,0.29297071877617575
II,0.9739932927634289
nonevent,0.011976901655837474
II,0.9642978467029547
II,0.9232389701264031
nonevent,0.014521844365841715
nonevent,0.02153452070089781
nonevent,0.2189252590669988
II,0.9844147612475342
II,0.9819230720068323
II,0.791726986306847
II,0.8125646213000871
II,0.996616374233629
nonevent,0.06887463865373326
II,0.6653499924194742
nonevent,0.09628073199181136
II,0.9829535168795552
II,0.5605752226351775
nonevent,0.12246788913132194
nonevent,0.08632514064284583
nonevent,0.006461843539235148
II,0.9631863111167496
II,0.8680296179099734
nonevent,0.008560203166841921
nonevent,0.44073517600357237
nonevent,0.18840138425030742
II,0.5623856080768712
nonevent,0.04660425825487815
II,0.9971406312286485
II,0.7420978220801143
nonevent,0.1276834782844487
nonevent,0.02912691024286972
II,0.895944008456127
II,0.9732705195298067
nonevent,0.40845893947732675
nonevent,0.16414996895081377
II,0.8051536330926296
II,0.8662268892649191
nonevent,0.0011939224579827698
II,0.99793063349428
nonevent,0.004277561993962303
II,0.9130612876939954
